City,x,y,Team 1,Team 2,OverNumber,RunsScoredinover,WinningDetails,MatchDetail
 Ahmedabad,23.0215374,72.5800568,ENG,NZ,1,12,New Zealand won by 9 wickets (with 82 balls remaining),"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup"
 Ahmedabad,23.0215374,72.5800568,ENG,NZ,2,0,New Zealand won by 9 wickets (with 82 balls remaining),"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup"
 Ahmedabad,23.0215374,72.5800568,ENG,NZ,3,4,New Zealand won by 9 wickets (with 82 balls remaining),"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup"
 Ahmedabad,23.0215374,72.5800568,ENG,NZ,4,5,New Zealand won by 9 wickets (with 82 balls remaining),"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup"
 Ahmedabad,23.0215374,72.5800568,ENG,NZ,5,5,New Zealand won by 9 wickets (with 82 balls remaining),"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup"
 Ahmedabad,23.0215374,72.5800568,ENG,NZ,6,9,New Zealand won by 9 wickets (with 82 balls remaining),"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup"
 Ahmedabad,23.0215374,72.5800568,ENG,NZ,7,4,New Zealand won by 9 wickets (with 82 balls remaining),"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup"
 Ahmedabad,23.0215374,72.5800568,ENG,NZ,8,2,New Zealand won by 9 wickets (with 82 balls remaining),"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup"
 Ahmedabad,23.0215374,72.5800568,ENG,NZ,9,5,New Zealand won by 9 wickets (with 82 balls remaining),"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup"
 Ahmedabad,23.0215374,72.5800568,ENG,NZ,10,5,New Zealand won by 9 wickets (with 82 balls remaining),"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup"
 Ahmedabad,23.0215374,72.5800568,ENG,NZ,11,3,New Zealand won by 9 wickets (with 82 balls remaining),"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup"
 Ahmedabad,23.0215374,72.5800568,ENG,NZ,12,7,New Zealand won by 9 wickets (with 82 balls remaining),"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup"
 Ahmedabad,23.0215374,72.5800568,ENG,NZ,13,3,New Zealand won by 9 wickets (with 82 balls remaining),"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup"
 Ahmedabad,23.0215374,72.5800568,ENG,NZ,14,5,New Zealand won by 9 wickets (with 82 balls remaining),"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup"
 Ahmedabad,23.0215374,72.5800568,ENG,NZ,15,4,New Zealand won by 9 wickets (with 82 balls remaining),"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup"
 Ahmedabad,23.0215374,72.5800568,ENG,NZ,16,6,New Zealand won by 9 wickets (with 82 balls remaining),"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup"
 Ahmedabad,23.0215374,72.5800568,ENG,NZ,17,15,New Zealand won by 9 wickets (with 82 balls remaining),"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup"
 Ahmedabad,23.0215374,72.5800568,ENG,NZ,18,11,New Zealand won by 9 wickets (with 82 balls remaining),"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup"
 Ahmedabad,23.0215374,72.5800568,ENG,NZ,19,4,New Zealand won by 9 wickets (with 82 balls remaining),"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup"
 Ahmedabad,23.0215374,72.5800568,ENG,NZ,20,3,New Zealand won by 9 wickets (with 82 balls remaining),"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup"
 Ahmedabad,23.0215374,72.5800568,ENG,NZ,21,6,New Zealand won by 9 wickets (with 82 balls remaining),"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup"
